y_offset,z_offset,pitch,yaw,ik_code,state_valid,contacts,distance_from_original_contact
-0.005,0.01,-170.0,85.0,1,True,,0.011180339887498949
-0.005,0.01,-170.0,95.0,1,True,,0.011180339887498949
0.005,0.01,-170.0,95.0,1,True,,0.011180339887498949
0.01,0.005,-170.0,95.0,1,True,,0.011180339887498949
-0.01,0.005,-170.0,100.0,1,True,,0.011180339887498949
-0.005,0.01,-170.0,100.0,1,True,,0.011180339887498949
0.005,0.01,-170.0,100.0,1,True,,0.011180339887498949
0.01,0.005,-170.0,100.0,1,True,,0.011180339887498949
-0.01,0.005,-165.0,90.0,1,True,,0.011180339887498949
-0.005,0.01,-165.0,90.0,1,True,,0.011180339887498949
0.005,0.01,-165.0,90.0,1,True,,0.011180339887498949
0.01,0.005,-165.0,90.0,1,True,,0.011180339887498949
-0.01,0.005,-165.0,85.0,1,True,,0.011180339887498949
-0.01,0.005,-165.0,95.0,1,True,,0.011180339887498949
-0.005,0.01,-165.0,85.0,1,True,,0.011180339887498949
-0.005,0.01,-165.0,95.0,1,True,,0.011180339887498949
0.005,0.01,-165.0,95.0,1,True,,0.011180339887498949
0.01,0.005,-165.0,95.0,1,True,,0.011180339887498949
-0.01,0.005,-165.0,100.0,1,True,,0.011180339887498949
-0.005,0.01,-165.0,100.0,1,True,,0.011180339887498949
0.005,0.01,-165.0,100.0,1,True,,0.011180339887498949
0.01,0.005,-165.0,100.0,1,True,,0.011180339887498949
-0.01,0.005,-160.0,90.0,1,True,,0.011180339887498949
-0.005,0.01,-160.0,90.0,1,True,,0.011180339887498949
0.005,0.01,-160.0,90.0,1,True,,0.011180339887498949
0.01,0.005,-160.0,90.0,1,True,,0.011180339887498949
-0.01,0.005,-160.0,85.0,1,True,,0.011180339887498949
-0.01,0.005,-160.0,95.0,1,True,,0.011180339887498949
-0.005,0.01,-160.0,85.0,1,True,,0.011180339887498949
-0.005,0.01,-160.0,95.0,1,True,,0.011180339887498949
0.005,0.01,-160.0,95.0,1,True,,0.011180339887498949
0.01,0.005,-160.0,95.0,1,True,,0.011180339887498949
